,UPosTag,Animacy,Number,Case,Gender,UPosTag.1,Number.1,Person,Case.1,Gender.1,delta,label
0,NOUN,Inan,Sing,Ins,Masc,PRON,Sing,3.0,Gen,Masc,4,1
1,NOUN,Anim,Plur,Loc,Masc,PRON,Sing,3.0,Gen,Masc,6,1
2,NOUN,Inan,Sing,Nom,Neut,PRON,Sing,3.0,Gen,Masc,8,0
3,NOUN,Inan,Sing,Gen,Fem,DET,,,,,7,0
4,NOUN,Inan,Sing,Nom,Masc,PRON,Plur,3.0,Gen,,12,1
5,NOUN,Inan,Plur,Acc,Masc,PRON,Plur,3.0,Gen,,4,1
6,NOUN,Anim,Sing,Gen,Masc,PRON,Plur,3.0,Acc,,3,0
7,NOUN,Inan,Plur,Gen,Masc,PRON,Plur,3.0,Acc,,6,0
8,NOUN,Inan,Sing,Loc,Fem,DET,,,,,2,1
9,NOUN,Inan,Plur,Acc,Masc,DET,,,,,2,1
10,NOUN,Inan,Sing,Nom,Neut,DET,,,,,5,1
11,NOUN,Inan,Sing,Gen,Fem,DET,,,,,16,1
12,NOUN,Inan,Plur,Gen,Masc,DET,,,,,2,1
13,ADV,,,,,DET,,,,,9,1
14,NOUN,Inan,Plur,Nom,Fem,DET,,,,,5,1
15,NOUN,Inan,Sing,Gen,Masc,DET,,,,,25,1
16,NOUN,Inan,Plur,Nom,Fem,DET,,,,,6,1
17,PROPN,Anim,Sing,Loc,Neut,DET,,,,,19,1
18,NOUN,Inan,Sing,Ins,Fem,DET,,,,,10,1
19,NOUN,Inan,Sing,Ins,Fem,DET,,,,,21,1
20,NOUN,Inan,Plur,Gen,Masc,DET,,,,,6,1
21,NOUN,Inan,Plur,Gen,Neut,DET,,,,,5,1
22,NOUN,Inan,Sing,Gen,Fem,DET,,,,,16,1
23,NOUN,Inan,Plur,Nom,Neut,DET,,,,,15,1
24,NOUN,Inan,Sing,Ins,Fem,DET,,,,,1,1
25,NOUN,Inan,Sing,Acc,Masc,DET,,,,,4,1
26,NOUN,Inan,Sing,Acc,Masc,DET,,,,,21,1
27,NOUN,Inan,Plur,Acc,Masc,DET,,,,,5,1
28,NOUN,Inan,Sing,Gen,Neut,PRON,Plur,3.0,Acc,,9,0
29,NOUN,Inan,Plur,Loc,Fem,DET,,,,,1,0
30,NOUN,Inan,Plur,Gen,Masc,DET,,,,,7,0
31,NOUN,Inan,Plur,Acc,Masc,PRON,Plur,3.0,Acc,,10,0
32,NOUN,Inan,Sing,Acc,Masc,DET,,,,,5,0
33,NOUN,Inan,Plur,Acc,Neut,PRON,Plur,3.0,Nom,,7,0
34,NOUN,Inan,Sing,Gen,Neut,PRON,Plur,3.0,Gen,,5,0
35,NOUN,Inan,Sing,Nom,Fem,DET,,,,,5,0
36,NOUN,Inan,Sing,Nom,Fem,ADV,,,,,9,0
37,NOUN,Inan,Sing,Nom,Masc,DET,,,,,6,0
38,NOUN,Inan,Sing,Gen,Fem,DET,,,,,3,0
39,NOUN,Inan,Sing,Ins,Masc,DET,,,,,1,0
40,NOUN,Inan,Plur,Gen,Fem,DET,,,,,5,0
41,NOUN,Inan,Sing,Gen,Fem,DET,,,,,9,0
42,NOUN,Inan,Sing,Loc,Fem,DET,,,,,9,0
43,NOUN,Inan,Sing,Acc,Fem,DET,,,,,3,0
44,NOUN,Inan,Sing,Nom,Neut,PRON,Plur,3.0,Acc,,8,0
45,NOUN,Inan,Sing,Gen,Fem,DET,,,,,4,0
46,NOUN,Inan,Sing,Loc,Neut,PRON,Plur,3.0,Acc,,3,0
47,NOUN,Inan,Sing,Nom,Neut,PRON,Plur,3.0,Acc,,2,0
48,NOUN,Inan,Plur,Gen,Masc,DET,,,,,18,1
49,NOUN,Inan,Sing,Ins,Fem,DET,,,,,3,1
50,NOUN,Inan,Plur,Gen,Masc,DET,,,,,4,1
51,NOUN,Inan,Plur,Gen,Masc,PRON,Sing,3.0,Gen,Masc,24,1
52,NOUN,Inan,Plur,Gen,Masc,DET,,,,,30,1
53,NOUN,Inan,Sing,Gen,Neut,DET,,,,,4,1
54,NOUN,Inan,Sing,Gen,Masc,DET,,,,,2,1
